Timestamp,Source IP,Destination IP,Event Type,Description
2023-09-29 17:57:59.279,192.168.224.131,10.0.114.236,Access Denied,Sample log description
2023-09-27 17:57:59.279,192.168.71.75,10.0.186.231,Access Denied,Sample log description
2023-10-06 17:57:59.279,192.168.57.43,10.0.14.187,IDS Alert,Sample log description
2023-09-23 17:57:59.279,192.168.161.20,10.0.70.247,Firewall Log,Sample log description
2023-10-12 17:57:59.279,192.168.137.209,10.0.177.213,Access Denied,Sample log description
2023-10-03 17:57:59.279,192.168.12.14,10.0.65.208,Firewall Log,Sample log description
2023-10-06 17:57:59.279,192.168.207.247,10.0.69.185,IDS Alert,Sample log description
2023-09-14 17:57:59.279,192.168.90.139,10.0.178.235,Firewall Log,Sample log description
2023-09-20 17:57:59.279,192.168.60.212,10.0.45.252,Firewall Log,Sample log description
2023-10-04 17:57:59.279,192.168.81.90,10.0.186.247,Access Denied,Sample log description
2023-10-07 17:57:59.279,192.168.249.99,10.0.102.92,Firewall Log,Sample log description
2023-09-20 17:57:59.279,192.168.126.76,10.0.171.213,Firewall Log,Sample log description
2023-09-26 17:57:59.279,192.168.236.214,10.0.130.145,Access Denied,Sample log description
2023-10-09 17:57:59.279,192.168.12.157,10.0.194.139,IDS Alert,Sample log description
2023-10-10 17:57:59.279,192.168.33.57,10.0.22.14,Firewall Log,Sample log description
2023-10-02 17:57:59.279,192.168.80.38,10.0.9.118,Access Denied,Sample log description
2023-10-10 17:57:59.279,192.168.60.89,10.0.88.231,IDS Alert,Sample log description
2023-10-07 17:57:59.279,192.168.7.216,10.0.209.28,Access Denied,Sample log description
2023-09-27 17:57:59.279,192.168.101.253,10.0.10.22,Access Denied,Sample log description
2023-10-10 17:57:59.279,192.168.199.41,10.0.141.20,Firewall Log,Sample log description
2023-09-23 17:57:59.279,192.168.109.183,10.0.218.247,Firewall Log,Sample log description
2023-09-29 17:57:59.279,192.168.56.220,10.0.162.17,IDS Alert,Sample log description
2023-10-03 17:57:59.279,192.168.157.9,10.0.238.140,Access Denied,Sample log description
2023-09-17 17:57:59.279,192.168.59.244,10.0.181.236,IDS Alert,Sample log description
2023-09-24 17:57:59.279,192.168.101.223,10.0.9.38,Firewall Log,Sample log description
2023-09-16 17:57:59.279,192.168.40.253,10.0.198.56,IDS Alert,Sample log description
2023-09-22 17:57:59.279,192.168.30.178,10.0.143.39,IDS Alert,Sample log description
2023-10-03 17:57:59.279,192.168.146.177,10.0.193.177,IDS Alert,Sample log description
2023-10-07 17:57:59.279,192.168.221.142,10.0.248.242,Access Denied,Sample log description
2023-09-20 17:57:59.279,192.168.81.115,10.0.208.201,Access Denied,Sample log description
2023-09-15 17:57:59.279,192.168.176.191,10.0.1.238,Firewall Log,Sample log description
2023-09-22 17:57:59.279,192.168.172.251,10.0.199.233,Firewall Log,Sample log description
2023-09-22 17:57:59.279,192.168.93.91,10.0.175.162,Firewall Log,Sample log description
2023-09-13 17:57:59.279,192.168.145.238,10.0.165.165,Firewall Log,Sample log description
2023-10-12 17:57:59.279,192.168.108.178,10.0.101.229,Firewall Log,Sample log description
2023-10-05 17:57:59.279,192.168.109.188,10.0.12.175,Firewall Log,Sample log description
2023-10-07 17:57:59.279,192.168.66.121,10.0.156.79,IDS Alert,Sample log description
2023-10-02 17:57:59.279,192.168.156.121,10.0.34.26,Access Denied,Sample log description
2023-09-24 17:57:59.279,192.168.178.209,10.0.79.151,Access Denied,Sample log description
2023-09-26 17:57:59.279,192.168.153.130,10.0.89.8,IDS Alert,Sample log description
2023-09-18 17:57:59.279,192.168.197.33,10.0.219.53,IDS Alert,Sample log description
2023-10-04 17:57:59.279,192.168.177.191,10.0.170.177,IDS Alert,Sample log description
2023-10-05 17:57:59.279,192.168.91.218,10.0.238.208,Access Denied,Sample log description
2023-10-01 17:57:59.279,192.168.232.199,10.0.28.2,Access Denied,Sample log description
2023-09-13 17:57:59.279,192.168.242.36,10.0.92.20,IDS Alert,Sample log description
2023-09-19 17:57:59.279,192.168.108.32,10.0.35.88,IDS Alert,Sample log description
2023-09-20 17:57:59.279,192.168.86.165,10.0.201.229,IDS Alert,Sample log description
2023-10-12 17:57:59.279,192.168.217.6,10.0.172.13,Access Denied,Sample log description
2023-09-28 17:57:59.279,192.168.203.111,10.0.47.195,IDS Alert,Sample log description
2023-09-20 17:57:59.279,192.168.73.202,10.0.14.164,Firewall Log,Sample log description
2023-10-02 17:57:59.279,192.168.2.215,10.0.60.139,IDS Alert,Sample log description
2023-09-19 17:57:59.279,192.168.60.8,10.0.200.169,Firewall Log,Sample log description
2023-09-25 17:57:59.279,192.168.115.248,10.0.225.140,IDS Alert,Sample log description
2023-10-08 17:57:59.279,192.168.222.73,10.0.58.216,IDS Alert,Sample log description
2023-10-02 17:57:59.279,192.168.250.45,10.0.185.212,Access Denied,Sample log description
2023-10-04 17:57:59.279,192.168.96.116,10.0.105.151,Firewall Log,Sample log description
2023-09-22 17:57:59.279,192.168.142.177,10.0.241.3,Firewall Log,Sample log description
2023-10-08 17:57:59.279,192.168.161.85,10.0.165.198,Access Denied,Sample log description
2023-10-06 17:57:59.279,192.168.156.68,10.0.214.110,Access Denied,Sample log description
2023-09-27 17:57:59.279,192.168.92.150,10.0.112.177,IDS Alert,Sample log description
2023-09-15 17:57:59.279,192.168.57.159,10.0.90.215,Access Denied,Sample log description
2023-09-23 17:57:59.279,192.168.192.34,10.0.164.239,Access Denied,Sample log description
2023-10-09 17:57:59.279,192.168.58.216,10.0.93.96,IDS Alert,Sample log description
2023-10-10 17:57:59.279,192.168.13.248,10.0.254.83,IDS Alert,Sample log description
2023-10-06 17:57:59.279,192.168.146.31,10.0.6.214,Access Denied,Sample log description
